# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
misc.txt
brick.txt
mushroom.txt
goomba.txt
koopas.txt
plant.txt
bullet.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = coin, 5 = platform, 8 = plant
# See OBJECT_TYPE constants in AssetIDs.h 

# MARIO
0	10	380

#Brick x	y	type(gold =1, question =2)	object(none(0), Supermushroom/leaf (100), coin(101), 1up(102))
1	176	352	2	101
1	192	352	2	101
1	224	304	2	101
1	240	304	2	100
1	656	384	2	100
1	416	320	2	101
1	704	352	2	101
1	1440	128	1	102
#Goomba x	y	type(normal = 1, Red: 2) level(normal: 1, wing: 2)
2	224	380	1	1
2	528	380	1	1
2	832	385	1	1
2	880	385	1	1
2	944	382	2	2
#Koopas x	y	type(red: 10, green: 11) level(normal: 1, wing: 2)
3	577	359	10	1
#Coin
4	1073	320
4	1105	288
4	1137	256
4	1169	224
4	1201	192
4	1329	80
4	1345	80
4	1361	80
4	1473	112
4	1489	112
4	1537	128
4	1553	128
4	1569	128
4	1585	128
4	1617	112
4	1633	112
4	1649	112
4	1665	112
4	1697	144
4	1729	112
4	1761	125
4	1809	96
4	1841	128
#Platform 
#ID	x	y	width	heigth	length	begin	middle	end	type(block: 10, normal: 20, nocollision: 30)
#GROUND
5	832	384	16	16	7	61102	61104	61103	30
5	960	384	16	16	3	61104	61104	61104	30
5	832	368	16	16	7	61102	61104	61103	30
5	880	352	16	16	2	61104	61103	61103	30
5	960	368	16	16	2	61102	61103	61103	30

5	33	384	16	16	2	61100	61101	61101	30
5	33	400	16	16	2	61104	61104	61104	30

5	81	400	16	16	2	61100	61101	61101	30
5	113	384	16	16	2	61100	61101	61101	30
5	113	400	16	16	2	61104	61104	61104	30

5	16	368	16	16	2	61100	61101	61101	30
5	16	384	16	16	2	61102	61104	61104	30
5	16	400	16	16	2	61102	61104	61104	30

5	33	352	16	16	2	61100	61101	61101	30
5	33	368	16	16	2	61102	61103	61103	30
5	49	384	16	16	1	61104	61104	61104	30

5	65	368	16	16	2	61100	61101	61101	30
5	65	384	16	16	2	61104	61103	61103	30
5	65	400	16	16	2	61104	61103	61103	30

5	97	368	16	16	2	61100	61101	61101	30
5	97	384	16	16	2	61102	61104	61104	30
5	97	400	16	16	2	61102	61104	61104	30

#Cloud
5	120	273	16	15	4	60100	60101	60102	30
5	120	289	16	16	4	60200	60201	60202	30

5	328	257	16	16	3	60100	60101	60102	30
5	328	273	16	16	3	60200	60201	60202	30

5	648	273	16	16	3	60100	60101	60102	30
5	648	289	16	16	3	60200	60201	60202	30

5	728	305	16	15	5	60100	60101	60102	30
5	728	321	16	16	5	60200	60201	60202	30

5	1176	273	16	15	3	60100	60101	60102	30
5	1176	289	16	16	3	60200	60201	60202	30

#Star
5	1184	128	15	15	1	60301	60301	60301	30
5	1504	64	15	15	1	60301	60301	60301	30
5	1504	96	15	15	1	60301	60301	60301	30
5	1952	16	15	15	1	60301	60301	60301	30

#Mushroom
5	1216	128	15	15	1	60302	60302	60302	30
5	1728	64	15	15	1	60302	60302	60302	30
5	1856	80	15	15	1	60302	60302	60302	30
5	1920	16	15	15	1	60302	60302	60302	30
5	1920	144	15	15	1	60302	60302	60302	30
5	2112	112	15	15	1	60302	60302	60302	30

#Flower
5	1264	48	15	15	1	60300	60300	60300	30
5	1360	32	15	15	1	60300	60300	60300	30
5	1392	144	15	15	1	60300	60300	60300	30
5	1456	96	15	15	1	60300	60300	60300	30
5	1488	80	15	15	1	60300	60300	60300	30
5	1616	32	15	15	1	60300	60300	60300	30
5	1680	64	15	15	1	60300	60300	60300	30
5	2224	80	15	15	1	60300	60300	60300	30


#plant x	y	type(Green: 1, type green fire: 2, red fire: 3)
8	360	376	3
#Portal 
#50	200	160	216	180	1

